image_path,defect_flag,machine_id
prod_0.png,True,M4
prod_1.png,False,M4
prod_2.png,False,M3
prod_3.png,False,M4
prod_4.png,True,M4
prod_5.png,False,M3
prod_6.png,False,M4
prod_7.png,False,M3
prod_8.png,False,M1
prod_9.png,False,M3
prod_10.png,False,M4
prod_11.png,False,M3
prod_12.png,False,M4
prod_13.png,False,M2
prod_14.png,False,M1
prod_15.png,False,M4
prod_16.png,True,M4
prod_17.png,False,M3
prod_18.png,False,M2
prod_19.png,False,M1
prod_20.png,False,M3
prod_21.png,False,M4
prod_22.png,False,M4
prod_23.png,False,M1
prod_24.png,False,M4
prod_25.png,True,M3
prod_26.png,False,M4
prod_27.png,False,M3
prod_28.png,False,M3
prod_29.png,False,M1
prod_30.png,False,M1
prod_31.png,False,M3
prod_32.png,False,M1
prod_33.png,True,M1
prod_34.png,False,M4
prod_35.png,False,M3
prod_36.png,False,M2
prod_37.png,False,M4
prod_38.png,False,M3
prod_39.png,False,M3
prod_40.png,False,M2
prod_41.png,False,M3
prod_42.png,False,M2
prod_43.png,False,M1
prod_44.png,True,M1
prod_45.png,False,M2
prod_46.png,True,M2
prod_47.png,False,M3
prod_48.png,False,M4
prod_49.png,False,M4
prod_50.png,False,M2
prod_51.png,True,M2
prod_52.png,True,M2
prod_53.png,False,M2
prod_54.png,False,M2
prod_55.png,False,M2
prod_56.png,False,M4
prod_57.png,False,M2
prod_58.png,False,M1
prod_59.png,False,M4
prod_60.png,False,M1
prod_61.png,False,M4
prod_62.png,False,M1
prod_63.png,False,M4
prod_64.png,False,M3
prod_65.png,False,M1
prod_66.png,False,M2
prod_67.png,False,M1
prod_68.png,False,M4
prod_69.png,False,M2
prod_70.png,False,M1
prod_71.png,False,M3
prod_72.png,False,M3
prod_73.png,True,M1
prod_74.png,True,M4
prod_75.png,False,M2
prod_76.png,False,M1
prod_77.png,False,M4
prod_78.png,False,M1
prod_79.png,False,M1
prod_80.png,False,M4
prod_81.png,True,M2
prod_82.png,False,M4
prod_83.png,False,M2
prod_84.png,False,M4
prod_85.png,True,M4
prod_86.png,False,M1
prod_87.png,False,M4
prod_88.png,False,M3
prod_89.png,False,M2
prod_90.png,False,M1
prod_91.png,False,M3
prod_92.png,False,M3
prod_93.png,False,M1
prod_94.png,False,M1
prod_95.png,False,M2
prod_96.png,False,M1
prod_97.png,False,M1
prod_98.png,False,M4
prod_99.png,False,M2
prod_100.png,True,M2
prod_101.png,False,M2
prod_102.png,False,M2
prod_103.png,False,M2
prod_104.png,False,M1
prod_105.png,False,M3
prod_106.png,False,M1
prod_107.png,False,M3
prod_108.png,False,M3
prod_109.png,False,M4
prod_110.png,False,M3
prod_111.png,False,M4
prod_112.png,True,M1
prod_113.png,False,M2
prod_114.png,False,M3
prod_115.png,False,M4
prod_116.png,False,M2
prod_117.png,False,M4
prod_118.png,False,M1
prod_119.png,True,M2
prod_120.png,False,M3
prod_121.png,False,M1
prod_122.png,False,M1
prod_123.png,False,M4
prod_124.png,False,M4
prod_125.png,False,M4
prod_126.png,False,M2
prod_127.png,False,M4
prod_128.png,False,M2
prod_129.png,False,M3
