timestamp,machine_id,production_count,quality_score,temperature,operator
2025-01-01 00:00:00,M1,45.0,0.26800801907434385,70.71482004001692,OpA
2025-01-01 00:00:00,M2,59.0,0.08786219754894616,74.0981710294437,OpA
2025-01-01 00:00:00,M3,,0.3445019581243223,67.88799262650075,OpA
2025-01-01 00:00:00,M4,59.0,0.4984893008936751,70.96037665366752,OpA
2025-01-01 01:00:00,M1,,0.40191568628056545,77.07639567026955,OpA
2025-01-01 01:00:00,M2,46.0,,70.34408888095892,OpB
2025-01-01 01:00:00,M3,52.0,0.51129409539995,71.03256100475615,OpA
2025-01-01 01:00:00,M4,57.0,0.35212134278282986,74.12090021221896,OpC
2025-01-01 02:00:00,M1,52.0,0.13310132174482114,78.12615946333584,OpB
2025-01-01 02:00:00,M2,49.0,,73.84315057887572,OpA
2025-01-01 02:00:00,M3,41.0,0.19657568361865363,70.371869540222,OpA
2025-01-01 02:00:00,M4,47.0,,79.83918598050522,OpB
2025-01-01 03:00:00,M1,41.0,0.1818460369730759,75.14858367290435,OpC
2025-01-01 03:00:00,M2,47.0,0.24241023906109074,74.98970581879628,OpB
2025-01-01 03:00:00,M3,49.0,0.13633488202289376,79.94875698653634,OpB
2025-01-01 03:00:00,M4,51.0,0.37484341148755,81.19546500460854,OpA
2025-01-01 04:00:00,M1,48.0,0.3323810719997579,80.08638715928113,OpA
2025-01-01 04:00:00,M2,51.0,0.47386233799095545,79.32863439383867,OpB
2025-01-01 04:00:00,M3,45.0,0.1256944150159754,,OpC
2025-01-01 04:00:00,M4,56.0,0.26266864645375104,79.22702287391331,OpB
2025-01-01 05:00:00,M1,51.0,0.07728960291406613,77.1713405824816,OpA
2025-01-01 05:00:00,M2,45.0,0.14764202395209677,75.80170717734667,OpA
2025-01-01 05:00:00,M3,48.0,0.09311990922311619,76.34132505666254,OpB
2025-01-01 05:00:00,M4,59.0,0.3564369366046232,78.15376870482875,OpC
2025-01-01 06:00:00,M1,49.0,0.2801260855427799,78.89969346318097,OpA
2025-01-01 06:00:00,M2,45.0,,78.14468180908118,OpB
2025-01-01 06:00:00,M3,46.0,,81.3954226203704,OpA
2025-01-01 06:00:00,M4,55.0,0.21985056478272783,80.06391972246038,OpA
2025-01-01 07:00:00,M1,,,79.90193197378287,OpB
2025-01-01 07:00:00,M2,54.0,0.15240645421794705,,OpA
2025-01-01 07:00:00,M3,49.0,0.27566712191837967,78.42619340343369,OpC
2025-01-01 07:00:00,M4,51.0,0.31554940328651077,,OpA
2025-01-01 08:00:00,M1,44.0,0.19218659643878155,77.71403464113247,OpA
2025-01-01 08:00:00,M2,58.0,0.1062475564166041,77.52937729448989,OpB
2025-01-01 08:00:00,M3,47.0,0.1700038487740846,78.82240312969786,OpB
2025-01-01 08:00:00,M4,39.0,0.5737035635300426,,OpB
